latitude, longitude, timestamp
39.5365599, -122.3379167, 2022-05-13T19:37:04.493896Z
39.5365599, -122.3379168, 2022-05-13T19:37:04.549452Z
39.5365599, -122.3379168, 2022-05-13T19:37:04.605008Z
39.53656, -122.3379167, 2022-05-13T19:37:04.595000Z
39.5365599, -122.3379167, 2022-05-13T19:37:04.650556Z
39.5365599, -122.3379167, 2022-05-13T19:37:04.706112Z
39.5365599, -122.3379167, 2022-05-13T19:37:04.761668Z
39.5365599, -122.3379168, 2022-05-13T19:37:04.817224Z
39.5365599, -122.3379167, 2022-05-13T19:37:04.872780Z
39.5365599, -122.3379167, 2022-05-13T19:37:04.928336Z
39.5365599, -122.3379167, 2022-05-13T19:37:04.983892Z
39.5365599, -122.3379167, 2022-05-13T19:37:05.039448Z
39.5365599, -122.3379167, 2022-05-13T19:37:05.095004Z
39.5365599, -122.3379167, 2022-05-13T19:37:05.150560Z
39.5365599, -122.3379167, 2022-05-13T19:37:05.206116Z
39.5365599, -122.3379166, 2022-05-13T19:37:05.261672Z
39.5365599, -122.3379167, 2022-05-13T19:37:05.317228Z
39.5365599, -122.3379166, 2022-05-13T19:37:05.372784Z
39.5365599, -122.3379166, 2022-05-13T19:37:05.428340Z
39.5365599, -122.3379167, 2022-05-13T19:37:05.483896Z
39.5365598, -122.3379166, 2022-05-13T19:37:05.585000Z
39.5365599, -122.3379166, 2022-05-13T19:37:05.640556Z
39.5365599, -122.3379165, 2022-05-13T19:37:05.696112Z
39.5365598, -122.3379166, 2022-05-13T19:37:05.751668Z
39.5365599, -122.3379166, 2022-05-13T19:37:05.807224Z
39.5365599, -122.3379166, 2022-05-13T19:37:05.862780Z
39.5365599, -122.3379166, 2022-05-13T19:37:05.918336Z
39.5365598, -122.3379166, 2022-05-13T19:37:05.973892Z
39.5365598, -122.3379166, 2022-05-13T19:37:06.029448Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.085004Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.140560Z
39.5365599, -122.3379166, 2022-05-13T19:37:06.196116Z
39.5365599, -122.3379167, 2022-05-13T19:37:06.251672Z
